workerid	tracked	image	question	response	expected_response	slide_number	id
0	[]	CLEVR_train_000014.png	Are there more small blue spheres than tiny green things?	no	no	4	141
0	[[156.0050811767578, 112.64820861816406], [158.24685668945312, 118.2526626586914], [161.04908752441406, 123.29666137695312], [153.20285034179688, 122.17577362060547], [141.99395751953125, 120.49443817138672], [137.51040649414062, 122.17577362060547], [132.46640014648438, 124.41755676269531], [120.13661193847656, 132.82421875], [83.70769500732422, 138.98912048339844], [86.50991821289062, 140.6704559326172], [88.75169372558594, 140.11001586914062], [92.67481231689453, 132.26377868652344], [98.83970642089844, 122.73622131347656], [99.9605941772461, 118.2526626586914], [96.03748321533203, 114.32954406738281], [82.58679962158203, 99.75798034667969], [158.24685668945312, 89.66997528076172], [219.33534240722656, 78.46107482910156], [250.7202606201172, 90.79086303710938], [254.64337158203125, 98.63709259033203], [230.54425048828125, 112.0877685546875], [221.0166778564453, 114.8899917602539], [207.56600952148438, 127.78022003173828], [177.8624267578125, 133.9451141357422]]	CLEVR_train_000021.png	Does the matte thing have the same size as the green object?	no	no	5	210
0	[[64.6525650024414, 89.10952758789062], [67.45479583740234, 93.59308624267578], [72.49879455566406, 104.24153900146484], [74.18013000488281, 107.04376220703125], [74.7405776977539, 108.72509765625], [77.54280090332031, 116.01087951660156], [82.02635955810547, 129.46156311035156], [84.82858276367188, 134.50555419921875], [84.82858276367188, 132.26377868652344], [84.82858276367188, 130.02200317382812], [83.70769500732422, 127.78022003173828], [204.76377868652344, 90.79086303710938], [210.36822509765625, 94.15353393554688], [221.57713317871094, 103.12065124511719], [227.18157958984375, 108.1646499633789], [277.0611572265625, 271.2541198730469]]	CLEVR_train_000004.png	Is there another tiny sphere that has the same color as the ball?	no	no	6	42
0	[[321.3363037109375, 95.27442169189453], [328.0616455078125, 100.31842803955078], [337.0287780761719, 107.60420989990234], [340.9518737792969, 110.40643310546875], [344.875, 113.76910400390625], [347.6772155761719, 116.01087951660156], [349.91900634765625, 119.37355041503906], [351.0398864746094, 121.05488586425781], [275.37982177734375, 272.375]]	CLEVR_train_000003.png	What material is the tiny cube that is to the right of the blue thing?	purple	rubber	7	30
0	[[154.32374572753906, 68.93350982666016], [155.44464111328125, 70.6148452758789], [157.12596130371094, 72.85662841796875], [157.68641662597656, 73.9775161743164], [158.24685668945312, 74.5379638671875], [155.44464111328125, 140.6704559326172], [157.12596130371094, 142.9122314453125], [160.48863220214844, 149.07713317871094], [162.1699676513672, 154.12112426757812], [163.29086303710938, 158.04425048828125], [164.41175842285156, 161.4069061279297], [164.97219848632812, 164.7695770263672], [165.5326385498047, 164.20913696289062], [276.500732421875, 269.5727844238281]]	CLEVR_train_000018.png	Is the size of the shiny cylinder the same as the thing behind the cube?	no	yes	8	184
0	[[212.61001586914062, 90.79086303710938], [215.97267150878906, 269.5727844238281], [270.8962707519531, 269.0123291015625]]	CLEVR_train_000023.png	Is the number of cubes greater than the number of small blue metallic blocks?	no	yes	9	230
0	[[199.7197723388672, 269.5727844238281], [264.73138427734375, 273.4958801269531]]	CLEVR_train_000005.png	There is a rubber thing that is in front of the purple object; what color is it?	blue	blue	10	52
0	[[274.81939697265625, 123.85710906982422], [275.37982177734375, 123.85710906982422], [321.8967590332031, 153.56068420410156], [321.3363037109375, 153.56068420410156], [205.32421875, 271.2541198730469], [278.74249267578125, 272.375]]	CLEVR_train_000001.png	There is a rubber thing that is the same color as the cylinder; what shape is it?	square	cube	11	11
0	[[239.51136779785156, 87.42819213867188], [240.07180786132812, 87.42819213867188], [240.6322479248047, 87.42819213867188], [241.1927032470703, 87.42819213867188], [242.31358337402344, 89.10952758789062], [243.43447875976562, 90.23041534423828], [244.55535888671875, 91.91175079345703], [200.2802276611328, 63.329063415527344], [202.52200317382812, 65.57084655761719], [199.15933227539062, 63.88950729370117], [194.11532592773438, 61.087284088134766], [189.07131958007812, 57.16416931152344], [184.02732849121094, 53.241058349609375], [179.54376220703125, 50.9992790222168], [176.7415313720703, 50.4388313293457], [170.01620483398438, 48.197052001953125], [162.7304229736328, 46.51572036743164], [160.48863220214844, 46.51572036743164], [158.24685668945312, 46.51572036743164], [163.85130310058594, 49.878387451171875], [169.45574951171875, 54.36194610595703], [172.2579803466797, 56.04328155517578], [180.66465759277344, 60.52684020996094], [196.3571014404297, 66.13128662109375], [203.6428985595703, 68.3730697631836], [217.6540069580078, 73.41706848144531], [229.42335510253906, 77.3401870727539], [233.9069061279297, 79.58196258544922], [241.1927032470703, 81.26329803466797], [242.87403869628906, 81.26329803466797], [243.43447875976562, 81.26329803466797], [242.31358337402344, 80.7028579711914], [242.31358337402344, 80.14241027832031], [242.31358337402344, 80.7028579711914], [242.31358337402344, 81.26329803466797], [159.3677520751953, 84.06552124023438], [158.24685668945312, 84.06552124023438], [157.68641662597656, 84.62596893310547], [154.32374572753906, 85.74685668945312], [136.38951110839844, 88.54907989501953], [116.21349334716797, 93.59308624267578], [115.09260559082031, 93.59308624267578], [115.09260559082031, 94.15353393554688], [115.09260559082031, 93.59308624267578], [115.09260559082031, 93.03263854980469], [111.72993469238281, 88.54907989501953], [111.72993469238281, 87.42819213867188], [113.97171783447266, 82.38418579101562], [114.53215789794922, 79.02152252197266], [113.97171783447266, 79.02152252197266], [113.41127014160156, 78.46107482910156], [194.67578125, 272.375], [274.81939697265625, 272.9354248046875]]	CLEVR_train_000019.png	There is a large object that is behind the small red cylinder; what is its material?	rubber	rubber	12	194
0	[[291.0722961425781, 149.07713317871094], [274.81939697265625, 143.47267150878906], [196.3571014404297, 267.8914489746094], [264.73138427734375, 272.375]]	CLEVR_train_000028.png	What is the size of the other cyan object that is the same shape as the large cyan metallic object?	tiny	small	13	282
